Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mcsp,branch-ueq1,branch-rtul,Randomise questionnaire elements?,Question Key,Response
2,1650824512479,24/04/2022 18:21:52,1650824513227,5.5,24/04/2022 23:51:53,85779,6,questionnaire-jtge,,21471263,29ul1k1i,6349170,,complete,dbfnqe,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.88,1366x768,1366x625,,Quality Control Questions Ban II,2,"YES=right arrow,",Passed,Passed,No,antonyms,রবীন্দ্রনাথ ঠাকুর
3,1650824512762,24/04/2022 18:21:52,1650824513229,5.5,24/04/2022 23:51:53,85779,6,questionnaire-jtge,,21471263,29ul1k1i,6349170,,complete,dbfnqe,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.88,1366x768,1366x625,,Quality Control Questions Ban II,2,"YES=right arrow,",Passed,Passed,No,antonyms-quantised,2
4,1650824512762,24/04/2022 18:21:52,1650824513229,5.5,24/04/2022 23:51:53,85779,6,questionnaire-jtge,,21471263,29ul1k1i,6349170,,complete,dbfnqe,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.88,1366x768,1366x625,,Quality Control Questions Ban II,2,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,7160
1,1651056635550,27/04/2022 10:50:35,1651056636238,5.5,27/04/2022 16:20:36,85779,6,questionnaire-jtge,,21537553,ciqcf68n,6367322,,complete,knowyy,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651056640345,27/04/2022 10:50:40,1651056641119,5.5,27/04/2022 16:20:41,85779,6,questionnaire-jtge,,21537553,ciqcf68n,6367322,,complete,knowyy,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,antonyms,রবীন্দ্রনাথ ঠাকুর
3,1651056640564,27/04/2022 10:50:40,1651056641126,5.5,27/04/2022 16:20:41,85779,6,questionnaire-jtge,,21537553,ciqcf68n,6367322,,complete,knowyy,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,antonyms-quantised,2
4,1651056640564,27/04/2022 10:50:40,1651056641127,5.5,27/04/2022 16:20:41,85779,6,questionnaire-jtge,,21537553,ciqcf68n,6367322,,complete,knowyy,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x625,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,4889
1,1651065728141,27/04/2022 13:22:08,1651065727344,5.5,27/04/2022 18:52:07,85779,6,questionnaire-jtge,,21541985,fli32ulj,6368527,,complete,sczdkx,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1600x900,1600x757,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651065735421,27/04/2022 13:22:15,1651065734611,5.5,27/04/2022 18:52:14,85779,6,questionnaire-jtge,,21541985,fli32ulj,6368527,,complete,sczdkx,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1600x900,1600x757,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,antonyms,রবীন্দ্রনাথ ঠাকুর
3,1651065735689,27/04/2022 13:22:15,1651065734613,5.5,27/04/2022 18:52:14,85779,6,questionnaire-jtge,,21541985,fli32ulj,6368527,,complete,sczdkx,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1600x900,1600x757,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,antonyms-quantised,2
4,1651065735689,27/04/2022 13:22:15,1651065734614,5.5,27/04/2022 18:52:14,85779,6,questionnaire-jtge,,21541985,fli32ulj,6368527,,complete,sczdkx,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1600x900,1600x757,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,7270
1,1651239275510,29/04/2022 13:34:35,1651239273836,5.5,29/04/2022 19:04:33,85779,6,questionnaire-jtge,,21585065,xfv1p39q,6380640,,complete,rketnr,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x722,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651239279401,29/04/2022 13:34:39,1651239277753,5.5,29/04/2022 19:04:37,85779,6,questionnaire-jtge,,21585065,xfv1p39q,6380640,,complete,rketnr,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x722,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,antonyms,রবীন্দ্রনাথ ঠাকুর
3,1651239279607,29/04/2022 13:34:39,1651239277754,5.5,29/04/2022 19:04:37,85779,6,questionnaire-jtge,,21585065,xfv1p39q,6380640,,complete,rketnr,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x722,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,antonyms-quantised,2
4,1651239279607,29/04/2022 13:34:39,1651239277755,5.5,29/04/2022 19:04:37,85779,6,questionnaire-jtge,,21585065,xfv1p39q,6380640,,complete,rketnr,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1536x722,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,3919
1,1651242505113,29/04/2022 14:28:25,1651242505179,5.5,29/04/2022 19:58:25,85779,6,questionnaire-jtge,,21585939,g32u8hap,6380909,,complete,miqzxa,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x657,,Quality Control Questions Ban II,2,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
