Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mcsp,branch-ueq1,branch-rtul,Randomise questionnaire elements?,Question Key,Response
3,1651170118784,28/04/2022 18:21:58,1651170117945,5.5,28/04/2022 23:51:57,85779,6,questionnaire-99dv,,21573041,vjlaqurv,6376871,,complete,bidlay,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1536x864,1519x746,,debriefing _lexical decision_BAN,4,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,76830
1,1651231009838,29/04/2022 11:16:49,1651231009442,5.5,29/04/2022 16:46:49,85779,6,questionnaire-99dv,,21582830,4ayk2unx,6379730,,complete,utcwtx,,computer,Desktop or Laptop,Windows 7,Chrome 100.0.4896.127,1366x768,1366x657,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651231072470,29/04/2022 11:17:52,1651231071730,5.5,29/04/2022 16:47:51,85779,6,questionnaire-99dv,,21582830,4ayk2unx,6379730,,complete,utcwtx,,computer,Desktop or Laptop,Windows 7,Chrome 100.0.4896.127,1366x768,1349x657,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,comment,
3,1651231072697,29/04/2022 11:17:52,1651231071735,5.5,29/04/2022 16:47:51,85779,6,questionnaire-99dv,,21582830,4ayk2unx,6379730,,complete,utcwtx,,computer,Desktop or Laptop,Windows 7,Chrome 100.0.4896.127,1366x768,1349x657,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,62294
1,1651246524463,29/04/2022 15:35:24,1651246518704,5.5,29/04/2022 21:05:18,85779,6,questionnaire-99dv,,21587218,mz8i7r41,6381286,,complete,gzmhxm,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x577,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651246541519,29/04/2022 15:35:41,1651246535744,5.5,29/04/2022 21:05:35,85779,6,questionnaire-99dv,,21587218,mz8i7r41,6381286,,complete,gzmhxm,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1263x577,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,comment,
3,1651246541793,29/04/2022 15:35:41,1651246535747,5.5,29/04/2022 21:05:35,85779,6,questionnaire-99dv,,21587218,mz8i7r41,6381286,,complete,gzmhxm,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1263x577,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,17044
1,1651296857891,30/04/2022 05:34:17,1651296835906,5.5,30/04/2022 11:03:55,85779,6,questionnaire-99dv,,21593737,geir2y8v,6383293,,complete,lgqwrq,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1280x720,1280x577,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651296871305,30/04/2022 05:34:31,1651296849314,5.5,30/04/2022 11:04:09,85779,6,questionnaire-99dv,,21593737,geir2y8v,6383293,,complete,lgqwrq,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1280x720,1263x577,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,comment,
3,1651296871567,30/04/2022 05:34:31,1651296849317,5.5,30/04/2022 11:04:09,85779,6,questionnaire-99dv,,21593737,geir2y8v,6383293,,complete,lgqwrq,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1280x720,1263x577,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,13411
1,1651479289123,02/05/2022 08:14:49,1651479288712,5.5,02/05/2022 13:44:48,85779,6,questionnaire-99dv,,21613272,s97gywdc,6390112,,complete,mkqyba,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1226x708,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651479331233,02/05/2022 08:15:31,1651479330872,5.5,02/05/2022 13:45:30,85779,6,questionnaire-99dv,,21613272,s97gywdc,6390112,,complete,mkqyba,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.1.2,1440x900,1226x708,,debriefing _lexical decision_BAN,4,"YES=right arrow,",Passed,Passed,No,comment,
