Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mcsp,branch-ueq1,branch-rtul,Randomise questionnaire elements?,Question Key,Response
3,1651224472212,29/04/2022 09:27:52,1651224468319,5.5,29/04/2022 14:57:48,85779,6,questionnaire-nvwz,,21580984,mb7idu80,6379225,,complete,desxyh,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1263x601,,Consent form,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,160694
1,1651229589116,29/04/2022 10:53:09,1651229588722,5.5,29/04/2022 16:23:08,85779,6,questionnaire-nvwz,,21582434,4ayk2unx,6379730,,complete,utcwtx,,computer,Desktop or Laptop,Windows 7,Chrome 100.0.4896.127,1366x768,1366x657,,Consent form,3,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651229662422,29/04/2022 10:54:22,1651229661720,5.5,29/04/2022 16:24:21,85779,6,questionnaire-nvwz,,21582434,4ayk2unx,6379730,,complete,utcwtx,,computer,Desktop or Laptop,Windows 7,Chrome 100.0.4896.127,1366x768,1349x657,,Consent form,3,"YES=right arrow,",Passed,Passed,No,consent,1
3,1651229662650,29/04/2022 10:54:22,1651229661726,5.5,29/04/2022 16:24:21,85779,6,questionnaire-nvwz,,21582434,4ayk2unx,6379730,,complete,utcwtx,,computer,Desktop or Laptop,Windows 7,Chrome 100.0.4896.127,1366x768,1349x657,,Consent form,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,73003
1,1651295901444,30/04/2022 05:18:21,1651295879470,5.5,30/04/2022 10:47:59,85779,6,questionnaire-nvwz,,21593691,geir2y8v,6383293,,complete,lgqwrq,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1280x720,1280x577,,Consent form,3,"YES=right arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651295906947,30/04/2022 05:18:26,1651295885028,5.5,30/04/2022 10:48:05,85779,6,questionnaire-nvwz,,21593691,geir2y8v,6383293,,complete,lgqwrq,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1280x720,1263x577,,Consent form,3,"YES=right arrow,",Passed,Passed,No,consent,1
3,1651295907239,30/04/2022 05:18:27,1651295885030,5.5,30/04/2022 10:48:05,85779,6,questionnaire-nvwz,,21593691,geir2y8v,6383293,,complete,lgqwrq,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.110,1280x720,1263x577,,Consent form,3,"YES=right arrow,",Passed,Passed,No,END QUESTIONNAIRE,5560
1,1651303749976,30/04/2022 07:29:09,1651303749714,5.5,30/04/2022 12:59:09,85779,6,questionnaire-nvwz,,21594098,kfm810wo,6383389,,complete,rpwxdn,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x649,,Consent form,3,"YES=left arrow,",Passed,Passed,No,BEGIN QUESTIONNAIRE,
2,1651303762282,30/04/2022 07:29:22,1651303762086,5.5,30/04/2022 12:59:22,85779,6,questionnaire-nvwz,,21594098,kfm810wo,6383389,,complete,rpwxdn,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x649,,Consent form,3,"YES=left arrow,",Passed,Passed,No,consent,1
3,1651303762548,30/04/2022 07:29:22,1651303762089,5.5,30/04/2022 12:59:22,85779,6,questionnaire-nvwz,,21594098,kfm810wo,6383389,,complete,rpwxdn,,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1349x649,,Consent form,3,"YES=left arrow,",Passed,Passed,No,END QUESTIONNAIRE,12375
