Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mcsp,Randomise questionnaire elements?,Question Key,Response
1,1671543036951,20/12/2022 13:30:36,1671543036532,11,21/12/2022 00:30:36,80062,4,questionnaire-nvwz,,26044045,v0y6xu43,7690385,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x960,1536x752,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1671543107753,20/12/2022 13:31:47,1671543107392,11,21/12/2022 00:31:47,80062,4,questionnaire-nvwz,,26044045,v0y6xu43,7690385,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x960,1519x752,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1671543108050,20/12/2022 13:31:48,1671543107393,11,21/12/2022 00:31:47,80062,4,questionnaire-nvwz,,26044045,v0y6xu43,7690385,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1536x960,1519x752,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,70862
1,1672358910523,30/12/2022 00:08:30,1672358910384,1,30/12/2022 01:08:30,80062,4,questionnaire-nvwz,,26157672,o26hhhvh,7722067,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 94.0.0.0,2048x1152,1977x945,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1672359093650,30/12/2022 00:11:33,1672359093523,1,30/12/2022 01:11:33,80062,4,questionnaire-nvwz,,26157672,o26hhhvh,7722067,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 94.0.0.0,2048x1152,1977x945,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1672359093698,30/12/2022 00:11:33,1672359093524,1,30/12/2022 01:11:33,80062,4,questionnaire-nvwz,,26157672,o26hhhvh,7722067,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 94.0.0.0,2048x1152,1977x945,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,183140
1,1672804784934,04/01/2023 03:59:44,1672804784966,11,04/01/2023 14:59:44,80062,4,questionnaire-nvwz,,26192607,df20d1t5,7733439,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x880,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1672804802447,04/01/2023 04:00:02,1672804802515,11,04/01/2023 15:00:02,80062,4,questionnaire-nvwz,,26192607,df20d1t5,7733439,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x880,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1672804802783,04/01/2023 04:00:02,1672804802516,11,04/01/2023 15:00:02,80062,4,questionnaire-nvwz,,26192607,df20d1t5,7733439,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1903x880,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,17551
1,1673536066930,12/01/2023 15:07:46,1673536066623,1,12/01/2023 16:07:46,80062,4,questionnaire-nvwz,,26346158,t3iun84y,7777550,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1920x1080,1920x1001,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1673536087202,12/01/2023 15:08:07,1673536086883,1,12/01/2023 16:08:06,80062,4,questionnaire-nvwz,,26346158,t3iun84y,7777550,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1920x1080,1905x1001,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1673536087285,12/01/2023 15:08:07,1673536086884,1,12/01/2023 16:08:06,80062,4,questionnaire-nvwz,,26346158,t3iun84y,7777550,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1920x1080,1905x1001,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,20261
1,1674367200890,22/01/2023 06:00:00,1674367201467,-5,22/01/2023 01:00:01,80062,4,questionnaire-nvwz,,26538878,gvnybaqj,7843222,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.55,1920x1080,1920x937,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1674367218138,22/01/2023 06:00:18,1674367218599,-5,22/01/2023 01:00:18,80062,4,questionnaire-nvwz,,26538878,gvnybaqj,7843222,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.55,1920x1080,1903x937,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1674367218284,22/01/2023 06:00:18,1674367218600,-5,22/01/2023 01:00:18,80062,4,questionnaire-nvwz,,26538878,gvnybaqj,7843222,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 109.0.1518.55,1920x1080,1903x937,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,17133
1,1674502076988,23/01/2023 19:27:56,1674502074885,-5,23/01/2023 14:27:54,80062,4,questionnaire-nvwz,,26574508,5im68qfu,7856465,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1218x724,,,,Consent form,3,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1674502080511,23/01/2023 19:28:00,1674502078434,-5,23/01/2023 14:27:58,80062,4,questionnaire-nvwz,,26574508,5im68qfu,7856465,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1218x724,,,,Consent form,3,"YES=right arrow,",No,consent,1
3,1674502080620,23/01/2023 19:28:00,1674502078436,-5,23/01/2023 14:27:58,80062,4,questionnaire-nvwz,,26574508,5im68qfu,7856465,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 108.0.0.0,1440x900,1218x724,,,,Consent form,3,"YES=right arrow,",No,END QUESTIONNAIRE,3550
