Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mcsp,Randomise questionnaire elements?,Question Key,Response
1,1676585098703,16/02/2023 22:04:58,1676585099385,-6,16/02/2023 16:04:59,80062,4,questionnaire-99dv,,27276356,qw3e6bqr,8107650,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1280x569,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1676585149839,16/02/2023 22:05:49,1676585150572,-6,16/02/2023 16:05:50,80062,4,questionnaire-99dv,,27276356,qw3e6bqr,8107650,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x569,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,comment,প্রতি শব্দে সময়ব্যাপ্তি বাড়ানোর প্রয়জোন
3,1676585150022,16/02/2023 22:05:50,1676585150575,-6,16/02/2023 16:05:50,80062,4,questionnaire-99dv,,27276356,qw3e6bqr,8107650,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1280x720,1263x569,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,END QUESTIONNAIRE,51190
1,1660441966548,14/08/2022 01:52:46,1660441966468,2,14/08/2022 03:52:46,80062,4,questionnaire-99dv,,23608478,983tg1pz,6917773,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x601,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1660442004206,14/08/2022 01:53:24,1660442004166,2,14/08/2022 03:53:24,80062,4,questionnaire-99dv,,23608478,983tg1pz,6917773,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1263x601,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,comment,
3,1660442004281,14/08/2022 01:53:24,1660442004168,2,14/08/2022 03:53:24,80062,4,questionnaire-99dv,,23608478,983tg1pz,6917773,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1263x601,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,END QUESTIONNAIRE,37701
1,1661258923374,23/08/2022 12:48:43,1661258923764,1,23/08/2022 13:48:43,80062,4,questionnaire-99dv,,23812969,1muqrksf,6996476,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1536x760,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1661258979828,23/08/2022 12:49:39,1661258980255,1,23/08/2022 13:49:40,80062,4,questionnaire-99dv,,23812969,1muqrksf,6996476,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x760,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,comment,
3,1661258979895,23/08/2022 12:49:39,1661258980257,1,23/08/2022 13:49:40,80062,4,questionnaire-99dv,,23812969,1muqrksf,6996476,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1536x864,1519x760,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,END QUESTIONNAIRE,56493
1,1662287315753,04/09/2022 10:28:35,1662287315387,2,04/09/2022 12:28:35,80062,4,questionnaire-99dv,,23966485,yy3adoea,7066376,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.70,1536x864,1536x754,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1662287322669,04/09/2022 10:28:42,1662287322356,2,04/09/2022 12:28:42,80062,4,questionnaire-99dv,,23966485,yy3adoea,7066376,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.70,1536x864,1519x754,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,comment,
3,1662287322784,04/09/2022 10:28:42,1662287322357,2,04/09/2022 12:28:42,80062,4,questionnaire-99dv,,23966485,yy3adoea,7066376,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.70,1536x864,1519x754,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,END QUESTIONNAIRE,6970
1,1664905923764,04/10/2022 17:52:03,1664905924273,-4,04/10/2022 13:52:04,80062,4,questionnaire-99dv,,24372109,s3u828jm,7198549,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1366x768,1366x649,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1664906032249,04/10/2022 17:53:52,1664906032781,-4,04/10/2022 13:53:52,80062,4,questionnaire-99dv,,24372109,s3u828jm,7198549,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1366x768,1349x649,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,comment,খুবই ভালো একটি গবেষনা। গবেষনার আগে নির্দেশনাগুলো ছিলো সেগুলো এত সুন্দর বাংলায় লেখা যা আমি কখনই পড়িনি। ধন্যবাদ
3,1664906032371,04/10/2022 17:53:52,1664906032784,-4,04/10/2022 13:53:52,80062,4,questionnaire-99dv,,24372109,s3u828jm,7198549,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 105.0.0.0,1366x768,1349x649,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,END QUESTIONNAIRE,108511
1,1674487061319,23/01/2023 15:17:41,1674487186345,1,23/01/2023 16:19:46,80062,4,questionnaire-99dv,,26564681,3yfjgpmy,7852342,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1280x569,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,BEGIN QUESTIONNAIRE,
2,1674487109332,23/01/2023 15:18:29,1674487234375,1,23/01/2023 16:20:34,80062,4,questionnaire-99dv,,26564681,3yfjgpmy,7852342,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1263x569,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,comment,
3,1674487109399,23/01/2023 15:18:29,1674487234377,1,23/01/2023 16:20:34,80062,4,questionnaire-99dv,,26564681,3yfjgpmy,7852342,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1280x720,1263x569,,,,debriefing _lexical decision_BAN,4,"YES=left arrow,",No,END QUESTIONNAIRE,48032
1,1677546809672,28/02/2023 01:13:29,1677546809597,0,28/02/2023 01:13:29,80062,4,questionnaire-99dv,,27613839,205fbu5c,8210449,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1512x982,1512x893,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,BEGIN QUESTIONNAIRE,
2,1677546820833,28/02/2023 01:13:40,1677546820801,0,28/02/2023 01:13:40,80062,4,questionnaire-99dv,,27613839,205fbu5c,8210449,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1512x982,1512x893,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,comment,
3,1677546820893,28/02/2023 01:13:40,1677546820803,0,28/02/2023 01:13:40,80062,4,questionnaire-99dv,,27613839,205fbu5c,8210449,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1512x982,1512x893,,,,debriefing _lexical decision_BAN,4,"YES=right arrow,",No,END QUESTIONNAIRE,11206
