Participant,RT,ACC,Condition,Item.no,yesButton,Source,Prefix
5997836,671.1999999880791,0,SemViol,298,left,Prolific,proti
5997836,863,1,SemViol,287,left,Prolific,duh
5997836,1905.300000011921,1,SemViol,231,left,Prolific,proti
5997836,1585.600000023842,1,CatViol,45,left,Prolific,duh
5997836,786.8000000119209,1,CatViol,42,left,Prolific,duh
5997836,706.8000000119209,1,Gramm,210,left,Prolific,duh
5997836,825,1,SemViol,301,left,Prolific,proti
5997836,593.3000000119209,1,SemViol,244,left,Prolific,proti
5997836,850.0999999642372,0,CatViol,15,left,Prolific,duh
5997836,745.8000000119209,1,CatViol,76,left,Prolific,proti
5997836,580.3000000119209,0,Gramm,218,left,Prolific,proti
5997836,688.5,0,CatViol,17,left,Prolific,duh
5997836,804.8000000119209,1,SemViol,276,left,Prolific,duh
5997836,735.5,0,SemViol,255,left,Prolific,duh
5997836,1016,0,SemViol,247,left,Prolific,proti
5997836,880.1999999880791,1,SemViol,251,left,Prolific,duh
5997836,619.0999999642372,1,Gramm,172,left,Prolific,proti
5997836,450.89999997615814,1,Gramm,204,left,Prolific,duh
5997836,333.89999997615814,0,SemViol,238,left,Prolific,proti
5997836,591,0,CatViol,70,left,Prolific,duh
5997836,599.8999999761581,0,CatViol,35,left,Prolific,duh
5997836,786.3999999761581,1,Gramm,176,left,Prolific,proti
5997836,480.0999999642372,1,Gramm,190,left,Prolific,proti
5997836,322.89999997615814,0,CatViol,68,left,Prolific,proti
5997836,501,0,SemViol,299,left,Prolific,duh
5997836,670,1,Gramm,212,left,Prolific,duh
5997836,661.1000000238419,1,Gramm,187,left,Prolific,proti
5997836,691.0999999642372,0,CatViol,19,left,Prolific,proti
5997836,1106.0999999642372,0,SemViol,256,left,Prolific,proti
5997836,623.5,0,SemViol,265,left,Prolific,proti
5997836,1099.5,1,SemViol,245,left,Prolific,proti
5997836,1476.600000023842,1,Gramm,189,left,Prolific,duh
5997836,1056.899999976158,1,SemViol,286,left,Prolific,proti
5997836,1012.1999999880792,0,CatViol,60,left,Prolific,duh
5997836,938.5,1,SemViol,261,left,Prolific,proti
5997836,1601.199999988079,1,Gramm,206,left,Prolific,proti
5997836,711.3999999761581,0,CatViol,12,left,Prolific,duh
5997836,911.1999999880792,1,SemViol,291,left,Prolific,duh
5997836,843.8999999761581,1,SemViol,277,left,Prolific,duh
5997836,518.9000000357628,0,CatViol,25,left,Prolific,duh
5997836,414,0,CatViol,7,left,Prolific,duh
5997836,1237.800000011921,0,CatViol,8,left,Prolific,duh
5997836,348,0,SemViol,283,left,Prolific,proti
5997836,455.89999997615814,0,CatViol,6,left,Prolific,proti
5997836,463.5,1,Gramm,207,left,Prolific,proti
5997836,603.8000000119209,0,CatViol,41,left,Prolific,duh
5997836,900.3999999761581,1,Gramm,182,left,Prolific,proti
5997836,237.30000001192093,0,SemViol,229,left,Prolific,duh
5997836,878.6000000238419,0,SemViol,237,left,Prolific,duh
5997836,629.6999999880791,1,Gramm,213,left,Prolific,duh
5997836,284.69999998807907,0,CatViol,37,left,Prolific,proti
5997836,210.19999998807907,1,Gramm,183,left,Prolific,duh
5997836,544.0999999642372,0,SemViol,259,left,Prolific,duh
5997836,777.6000000238419,0,CatViol,26,left,Prolific,proti
5997836,1464.0999999642372,0,SemViol,270,left,Prolific,proti
5997836,501.60000002384186,1,Gramm,225,left,Prolific,duh
5997836,658.9000000357628,0,SemViol,290,left,Prolific,duh
5997836,516.8000000119209,0,CatViol,30,left,Prolific,duh
5997836,430.5,0,SemViol,272,left,Prolific,proti
5997836,387.89999997615814,1,Gramm,184,left,Prolific,proti
5997836,372.9000000357628,0,SemViol,279,left,Prolific,proti
5997836,503,1,Gramm,170,left,Prolific,duh
5997836,276.39999997615814,0,SemViol,239,left,Prolific,duh
5997836,759.6999999880791,1,Gramm,185,left,Prolific,proti
5997836,381.5,0,SemViol,271,left,Prolific,duh
5997836,739,1,CatViol,62,left,Prolific,duh
