ItemNo,Item.no,Target,Condition,ITEMNO,length,noise,stim,width,height,blackPx,luminance,Word,WordPhonetic,WLp,WordLenPhonetic,WLa,WLc,WordLenXlsx,Stem,CatViolPOS,SpellingStem,CRating,stemFreq_old,log_stemFreq_old,stemFreq,log_stemFreq,Tp,log_Tp,Types,Exclude,wordFreq,log_wordFreq,TP_old,log_TP_old,WLp_O,WLc_O,WLa_O,Luminance_O,Width_O,complexity
G16,184,প্রতিরূপ,Gramm,G16,8,a,প্রতিরূপ,425,199,17213,125.6962483,প্রতিরূপ,prot̪irup,8,10,4,8,8,রূপ,NA,NA,2.033333333,450.4381505,2.653635167,427.916,2.631358525,0.0002336907243,-3.631358525,21814,NA,0.1,-1,0.0002220060621,-3.653635167,0.05462182614,-0.005157013827,0.01509569595,0.01955849932,-0.03683542664,52.85785544
F09,85,উটপাখি,Filler,F09,6,a,উটপাখি,455,158,17939,132.4458753,উটপাখি,utpakʰi,6,7,4,6,6,উট,NA,NA,NA,445.5746569,2.648920481,378.738,2.578338881,0.0002640347681,-3.578338881,8142,NA,0.1,-1,0.0002244292813,-3.648920481,0.0409663696,-0.00386776037,0.1049682512,0.08749636476,0.0190751846,54.73508352
C06,6,প্রতিদূর,CatViol,C06,8,a,প্রতিদূর,415,199,16908,125.4276012,প্রতিদূর,prot̪id̪ur,8,10,4,8,8,দূর,Adj,NA,NA,441.7242187,2.645151211,388.717,2.589633534,0.0002572565645,-3.589633534,4484,NA,0.1,-1,0.0002263855948,-3.645151211,0.05462182614,-0.005157013827,0.01509569595,0.01864524309,-0.04888680831,51.66877394
S05,233,দুর্চোখ,SemViol,S05,7,a,দুর্চোখ,336,200,13010,125.4212772,দুর্চোখ,d̪urcokʰ,6,9,3,7,7,চোখ,NA,NA,6.666666667,424.4929643,2.627870496,416.003,2.619096463,0.0002403828819,-3.619096463,1331,NA,0.1,-1,0.0002355751647,-3.627870496,0.0409663696,0.05573520493,0.01142901567,0.08838998213,-0.01765014387,40.05469335
G17,185,প্রতিযুদ্ধ,Gramm,G17,10,a,প্রতিযুদ্ধ,442,200,18448,125.702564,প্রতিযুদ্ধ,prot̪iɟud̪d̪ʱo,10,15,5,10,10,যুদ্ধ,NA,NA,3.266666667,421.1330146,2.624419289,463.246,2.665811678,0.0002158680269,-3.665811678,4012,NA,0.1,-1,0.0002374546676,-3.624419289,0.06827728267,-0.006446267283,0.01886961994,-0.08235538352,-0.1604103191,53.98519383
G18,186,দুঃশাসন,Gramm,G18,7,a,দুঃশাসন,458,200,15825,130.4654542,দুঃশাসন,d̪uʃaʃon,7,9,4,7,7,শাসন,NA,NA,1.7,417.8589521,2.621029711,371.894,2.570419172,0.0002688938246,-3.570419172,2401,NA,0.1,-1,0.0002393152031,-3.621029711,0.04779409787,-0.004512387098,0.06003197359,0.05826761924,0.0130260256,45.56963945
G19,187,প্রতিবোধ,Gramm,G19,8,a,প্রতিবোধ,504,160,19318,120.7311836,প্রতিবোধ,prot̪ibod̪ʱ,8,12,5,8,8,বোধ,NA,NA,1.6,400.6877154,2.602806028,412.708,2.615642887,0.0002423020634,-3.615642887,6790,NA,0.1,-1,0.0002495709156,-3.602806028,0.05462182614,-0.005157013827,0.1087421752,-0.05426266447,-0.06888643005,56.49546437
C07,7,দুর্শক্ত,CatViol,C07,8,a,দুর্শক্ত,303,200,11458,126.6118896,দুর্শক্ত,d̪urʃokt̪o,8,10,3,8,8,শক্ত,Adj,NA,NA,398.1824988,2.600082168,366.328,2.563870115,0.0002729794064,-3.563870115,6662,NA,0.1,-1,0.0002511411232,-3.600082168,0.05462182614,-0.005157013827,-0.0785507833,0.07961379276,-0.05728428807,34.5891565
C08,8,দুঃসম্ভব,CatViol,C08,8,a,দুঃসম্ভব,420,200,15452,123.6808079,দুঃসম্ভব,d̪uʃɔmbʱɔb,8,10,4,8,8,সম্ভব,N/Adj,NA,NA,377.101841,2.576458653,369.56,2.567684958,0.0002705920554,-3.567684958,871,NA,0.1,-1,0.0002651803548,-3.576458653,0.05462182614,-0.005157013827,0.01509569595,0.0127070816,-0.04330238509,46.88695376
G20,188,প্রতিপণ,Gramm,G20,7,a,প্রতিপণ,417,158,15235,130.420673,প্রতিপণ,prot̪ipɔn,8,10,4,7,7,পণ,NA,NA,3.233333333,370.5609595,2.568859662,337.21,2.527900445,0.0002965511106,-3.527900445,5970,NA,0.1,-1,0.000269861132,-3.568859662,0.05462182614,-0.06475997913,0.01498845224,0.06778812807,-0.0273074988,46.07449418
C09,9,দুঃশান্ত,CatViol,C09,8,a,দুঃশান্ত,359,200,13315,122.5969103,দুঃশান্ত,d̪uʃant̪o,7,9,3,8,8,শান্ত,Adj,NA,NA,347.763592,2.541284113,375.585,2.574708239,0.0002662513146,-3.574708239,4010,NA,0.1,-1,0.0002875516653,-3.541284113,0.04779409787,0.0550905782,-0.03350726196,0.05629227298,0.0000795,41.28666953
F10,86,কৃষিজমি,Filler,F10,7,a,কৃষিজমি,481,197,20323,126.4361464,কৃষিজমি,kriʃiɟomi,9,9,4,7,7,জমি,NA,NA,NA,345.845099,2.538881626,293.968,2.468300058,0.0003401730801,-3.468300058,2309,NA,0.1,-1,0.0002891467894,-3.538881626,0.06144955441,-0.1250075712,-0.0300550691,0.063915613,0.05731261403,56.80993131
C10,10,দুর্বৃদ্ধ,CatViol,C10,9,a,দুর্বৃদ্ধ,286,200,12304,134.6966997,দুর্বৃদ্ধ,d̪urbrid̪d̪ʱo,9,13,3,9,9,বৃদ্ধ,Adj,NA,NA,336.9407666,2.52755356,357.157,2.552859166,0.0002799889124,-3.552859166,3268,NA,0.1,-1,0.0002967880705,-3.52755356,0.06144955441,-0.005801640555,-0.1234870609,0.08460144153,-0.08494909695,37.12935809
S06,234,দুর্লতা,SemViol,S06,7,a,দুর্লতা,326,200,12729,126.771163,দুর্লতা,d̪urlot̪a,7,10,3,7,7,লতা,NA,NA,6.233333333,324.3525965,2.511017379,278.943,2.445515467,0.0003584961802,-3.445515467,7097,NA,0.1,-1,0.0003083064575,-3.511017379,0.04779409787,-0.004512387098,-0.03361450567,0.1026516117,-0.02049258518,38.96879489
C11,11,প্রতিদীর্ঘ,CatViol,C11,10,a,প্রতিদীর্ঘ,470,158,19552,120.5574787,প্রতিদীর্ঘ,prot̪id̪irgʱo,10,13,4,10,10,দীর্ঘ,Adj,NA,NA,316.1674402,2.499917143,287.712,2.458957976,0.000347569792,-3.458957976,1809,NA,0.1,-1,0.0003162881033,-3.499917143,0.06827728267,-0.006446267283,-0.07477685931,-0.04290331388,-0.002455443701,57.38770142
G21,189,দুরাশা,Gramm,G21,6,a,দুরাশা,349,200,12754,124.6575282,দুরাশা,d̪uraʃa,6,8,3,6,6,আশা,NA,NA,1.466666667,315.7659433,2.499365288,318.924,2.503687202,0.0003135543264,-3.503687202,1413,NA,0.1,-1,0.0003166902642,-3.499365288,0.0409663696,-0.00386776037,0.01132177196,0.1179627602,0.01576594469,37.23836953
G22,190,প্রতিরক্ষা,Gramm,G22,10,a,প্রতিরক্ষা,493,158,19673,122.3023259,প্রতিরক্ষা,prot̪irɔkkʰa,10,13,4,10,10,রক্ষা,NA,NA,2.1,311.7778786,2.493845298,283.718,2.45288689,0.0003524626566,-3.45288689,2480,NA,0.1,-1,0.000320741165,-3.493845298,0.06827728267,-0.006446267283,-0.07477685931,-0.03697176809,0.02552709328,56.42879241
G23,191,প্রতিলাভ,Gramm,G23,8,a,প্রতিলাভ,484,158,18611,131.1612166,প্রতিলাভ,prot̪ilabʱ,8,11,4,8,8,লাভ,NA,NA,2.1,300.3693643,2.477655635,279.344,2.446139348,0.0003579815568,-3.446139348,5774,NA,0.1,-1,0.0003329234332,-3.477655635,0.05462182614,-0.005157013827,0.01509569595,0.03813646404,0.03517787409,54.61721148
G24,192,প্রতিপালন,Gramm,G24,9,a,প্রতিপালন,556,158,20546,121.5628048,প্রতিপালন,prot̪ipalon,10,12,5,9,9,পালন,NA,NA,2.233333333,294.2941365,2.468781609,250.15,2.398200507,0.0003997601439,-3.398200507,1217,NA,0.1,-1,0.0003397961006,-3.468781609,0.06827728267,-0.06604923258,0.01876237623,-0.06425923162,-0.006703699034,59.78977372
C12,12,দুর্মুখ্য,CatViol,C12,9,a,দুর্মুখ্য,311,200,13146,126.4839072,দুর্মুখ্য,d̪urmurkʰo,8,11,3,9,9,মুখ্য,Adj,NA,NA,286.8219477,2.457612381,306.899,2.486995473,0.0003258400972,-3.486995473,1173,NA,0.1,-1,0.0003486483542,-3.457612381,0.05462182614,0.05444595147,-0.07844353959,0.04700960558,-0.06573399417,41.10979686
G25,193,দুর্গতি,Gramm,G25,7,a,দুর্গতি,324,200,13619,129.3966832,দুর্গতি,d̪urgot̪i,7,10,3,7,7,গতি,NA,NA,2.133333333,286.636721,2.457331827,272.305,2.435055616,0.0003672352693,-3.435055616,4015,NA,0.1,-1,0.0003488736532,-3.457331827,0.04779409787,-0.004512387098,-0.03361450567,0.1115769739,-0.02227436995,43.12385967
G26,194,প্রতিরুপ,Gramm,G26,8,a,প্রতিরুপ,425,200,17369,124.740695,প্রতিরুপ,prot̪irup,8,10,4,8,8,রুপ,NA,রূপ,2.133333333,283.0408401,2.451849105,263.228,2.420332084,0.000379898795,-3.420332084,6389,NA,0.1,-1,0.0003533059044,-3.451849105,0.05462182614,-0.005157013827,0.01509569595,0.01631012997,-0.03705957791,52.75557578
S07,235,প্রতিরক্ত,SemViol,S07,9,a,প্রতিরক্ত,459,158,17858,127.0831902,প্রতিরক্ত,prot̪irɔkt̪o,10,13,4,9,9,রক্ত,NA,NA,5.833333333,278.7795919,2.445260978,278.78,2.445261614,0.0003587057895,-3.445261614,4058,NA,0.1,-1,0.0003587063146,-3.445260978,0.06827728267,-0.06604923258,-0.07488410302,0.01144972507,0.003898516486,53.15182187
F11,87,গাছপালা,Filler,F11,7,a,গাছপালা,490,158,16095,128.5304129,গাছপালা,gacʰpala,7,8,4,7,7,গাছ,NA,NA,NA,272.8813125,2.435973795,281.068,2.448811403,0.0003557857885,-3.448811403,5021,NA,0.1,-1,0.0003664596857,-3.435973795,0.04779409787,-0.004512387098,0.06003197359,0.0516895154,0.0509348705,47.71868534
C13,13,দুর্বাসি,CatViol,C13,8,a,দুর্বাসি,347,200,14266,126.8659441,দুর্বাসি,d̪urbaʃi,8,8,3,8,8,বাসি,Adj,NA,NA,271.6675086,2.4340377,236.351,2.373557444,0.0004230995426,-3.373557444,3203,NA,0.1,-1,0.0003680970187,-3.4340377,0.05462182614,-0.005157013827,-0.0785507833,0.08047744196,-0.004475894912,42.76946599
G27,195,প্রতিঘাত,Gramm,G27,8,a,প্রতিঘাত,482,158,18692,126.901847,প্রতিঘাত,prot̪igʱat̪,8,12,4,8,8,ঘাত,NA,NA,2.7,265.2642537,2.42367873,249.348,2.396805889,0.0004010459278,-3.396805889,3205,NA,0.1,-1,0.0003769825697,-3.42367873,0.05462182614,-0.005157013827,0.01509569595,0.02365688907,0.03178104938,54.90928601
G28,196,প্রতিবর্তন,Gramm,G28,10,a,প্রতিবর্তন,533,158,20962,127.8657638,প্রতিবর্তন,prot̪ibɔrt̪on,11,14,5,10,10,বর্তন,NA,NA,3.4,265.108001,2.423422835,281.014,2.448727957,0.0003558541567,-3.448727957,1790,NA,0.1,-1,0.0003772047604,-3.423422835,0.07510501094,-0.06669385931,-0.0261739014,-0.06532892208,-0.04197950788,60.8213798
G29,197,দুর্মতি,Gramm,G29,7,a,দুর্মতি,324,200,14110,128.5148472,দুর্মতি,d̪urmot̪i,7,10,3,7,7,মতি,NA,NA,2.933333333,260.1089505,2.415155297,241.901,2.383637664,0.0004133922555,-3.383637664,3512,NA,0.1,-1,0.0003844542827,-3.415155297,0.04779409787,-0.004512387098,-0.03361450567,0.1085792039,-0.0224812288,42.39283161
C14,14,প্রতিবাস্তব,CatViol,C14,11,a,প্রতিবাস্তব,557,158,21586,126.6703248,প্রতিবাস্তব,prot̪ibast̪ob,11,13,5,11,11,বাস্তব,Adj,NA,NA,259.2469738,2.413713696,254.062,2.404939713,0.0003936047107,-3.404939713,1585,NA,0.1,-1,0.0003857325643,-3.413713696,0.07510501094,-0.007090894012,-0.02606665769,-0.1015618899,-0.03149823425,62.12183649
G30,198,প্রতিবিধান,Gramm,G30,10,a,প্রতিবিধান,594,158,23492,123.0419997,প্রতিবিধান,prot̪ibid̪ʱan,10,14,5,10,10,বিধান,NA,NA,2.1,252.2373343,2.401809368,274.939,2.439236349,0.0003637170427,-3.439236349,1731,NA,0.1,-1,0.0003964520172,-3.401809368,0.06827728267,-0.006446267283,0.01886961994,-0.09139987692,0.02118869177,68.17940716
G31,199,প্রতিপ্রভা,Gramm,G31,10,a,প্রতিপ্রভা,483,158,18941,122.8090669,প্রতিপ্রভা,prot̪iprobʱa,10,13,4,10,10,প্রভা,NA,NA,2.4,249.4444473,2.396973841,266.906,2.426358337,0.0003746637393,-3.426358337,2555,NA,0.1,-1,0.000400890864,-3.396973841,0.06827728267,-0.006446267283,-0.07477685931,-0.03524912014,0.01365760018,56.84462391
G32,200,প্রতিশব্দ,Gramm,G32,9,a,প্রতিশব্দ,439,158,16066,125.2369846,প্রতিশব্দ,prot̪iʃɔbd̪o,10,13,4,9,9,শব্দ,NA,NA,2.8,248.0712864,2.394576499,260.475,2.415766047,0.0003839140033,-3.415766047,4007,NA,0.1,-1,0.0004031099345,-3.394576499,0.06827728267,-0.06604923258,-0.07488410302,0.005173615014,-0.02051128796,46.20779417
F12,88,পুরুষকে,Filler,F12,7,a,পুরুষকে,428,200,17376,123.3364671,পুরুষকে,puruʃke,7,7,4,7,7,পুরুষ,NA,NA,NA,248.0195471,2.39448591,260.421,2.415676002,0.0003839936103,-3.415676002,4390,NA,0.1,-1,0.0004031940271,-3.39448591,0.04779409787,-0.004512387098,0.06003197359,0.03403288199,-0.0246113634,49.69211913
F13,89,কাকের,Filler,F13,5,a,কাকের,395,160,14445,126.5185315,কাকের,kaker,5,5,4,5,5,কাক,NA,NA,NA,245.0197029,2.389201009,252.37,2.402037728,0.0003962436106,-3.402037728,8047,NA,0.1,-1,0.0004081304435,-3.389201009,0.03413864134,-0.003223133642,0.1499045289,0.08984294569,-0.04506430954,39.79453185
C15,15,দুঃসহজ,CatViol,C15,6,a,দুঃসহজ,417,200,14948,126.6216061,দুঃসহজ,d̪uʃohoɟ,7,8,4,6,6,সহজ,Adj,NA,NA,243.9145516,2.38723771,248.793,2.395838157,0.0004019405691,-3.395838157,916,NA,0.1,-1,0.0004099796398,-3.38723771,0.04779409787,-0.0641153524,0.05992472988,0.07736971037,-0.01901756847,44.99836168
