ItemNo,Condition,ITEMNO,length,noise,stim,width,height,blackPx,luminance,Word,WordPhonetic,WordLenPhonemic,WordLenPhonetic,WordLength,WordLenUnicode,WordLenXlsx,Stem,CatViolPOS,SpellingStem,CRating,stemFreq_old,log_stemFreq_old,stemFreq_new,log_stemFreq_new,Types,Exclude,wordFreq_old,log_wordFreq_old,TP_old,log_TP_old,WLp_O,WLc_O,WLa_O,Luminance_O,Width_O,complexity
C04,CatViol,C04,9,a,প্রতিভালো,562,160,21617,125.2599477,প্রতিভালো,prot̪ibʱalo,9,11,4,9,9,ভালো,,,NA,658.8129813,2.81876214795281,612.696,2.78724504503964,1595,NA,0.1,-1,0.000151788144493867,-3.81876214795281,0.0614495544060513,-0.005801640554946,-0.0298405816795763,-0.00442106366456083,0.118121695944108,63.3086108551526
C05,CatViol,C05,8,a,প্রতিলাল,465,158,17549,127.7168593,প্রতিলাল,prot̪ilal,8,9,4,8,8,লাল,Adj/N,,NA,656.5271393,2.81725268351707,617.136,2.7903808812796,10953,NA,0.1,-1,0.000152316627925879,-3.81725268351707,0.0546218261387122,-0.00515701382661901,0.0150956959532413,0.0264274943048021,0.0115920155993128,51.0312855274883
S02,SemViol,S02,9,a,প্রতিছেলে,503,160,19526,124.9189059,প্রতিছেলে,prot̪icʰele,9,12,4,9,9,ছেলে,,,6.666666667,641.5444747,2.80722676896858,577.39,2.76146925792637,1618,NA,0.1,-1,0.000155873838749468,-3.80722676896858,0.0614495544060513,-0.005801640554946,-0.0298405816795763,-0.00558042309367664,0.0473103528560668,57.0059326536975
G09,Gramm,G09,9,a,প্রতিক্রম,466,158,17747,125.2736705,প্রতিক্রম,prot̪ikrom,9,9,4,9,9,ক্রম,,,2.266666667,634.8483753,2.80267001248323,666.591,2.82385944572307,7536,NA,0.1,-1,0.000157517926942389,-3.80267001248323,0.0614495544060513,-0.005801640554946,-0.0298405816795763,-0.00437441349565524,0.00303662911371777,51.2977123552806
S03,SemViol,S03,9,a,প্রতিমেয়ে,503,166,19934,129.1249105,প্রতিমেয়ে,prot̪imeʲe,8,11,4,9,9,মেয়ে,,,6.8,630.8271974,2.79991040917512,542.511,2.73440854840235,2422,NA,0.1,-1,0.00015852201745923,-3.79991040917512,0.0546218261387122,0.0544459514723002,0.0152029396631932,-0.000955001464009467,0.0394677176973808,56.4679925700555
G10,Gramm,G10,11,a,দুর্ব্যবহার,514,200,19413,127.830918,দুর্ব্যবহার,d̪urbæ̯bohar,10,15,5,11,11,ব্যবহার,,,1.833333333,615.2164178,2.78902791662563,590.608,2.77129932534549,1604,NA,0.1,-1,0.000162544426817473,-3.78902791662563,0.0682772826733903,0.0531566980156453,0.0189768636515035,-0.107289235627999,-0.0916052156624804,56.6956629799934
G11,Gramm,G11,9,a,দুষ্কার্য,326,200,12837,127.3963116,দুষ্কার্য,d̪uʃkarɟo,8,10,4,9,9,কার্য,,,2.4,597.0217778,2.77599017335025,626.873,2.7971795647767,5292,NA,0.1,-1,0.000167498077488054,-3.77599017335025,0.0546218261387122,0.0544459514723002,0.0152029396631932,-0.00683131173997628,-0.173131799746399,37.1188517815743
F07,Filler,F07,7,a,শালগুলো,488,200,17521,128.6484434,শালগুলো,ʃalgulo,7,7,4,7,7,শাল,,,NA,565.3562954,2.75232223252237,571.01,2.75664371403707,8213,NA,0.1,-1,0.000176879608157981,-3.75232223252237,0.0477940978713732,-0.00451238709829112,0.0600319735860601,0.0520907558688114,0.0485648851707759,50.7478196158146
G12,Gramm,G12,11,a,প্রতিপ্রশ্ন,425,158,17124,123.7301899,প্রতিপ্রশ্ন,prot̪iproʃno,11,13,4,11,11,প্রশ্ন,,,2.3,542.7482937,2.73459846678728,499.328,2.69838591995966,1581,NA,0.1,-1,0.000184247470071779,-3.73459846678728,0.0751050109407293,-0.00709089401160041,-0.119713136945214,-0.0546141700354404,-0.0648399369681787,51.078639033145
G13,Gramm,G13,10,a,দুশ্চেষ্টা,387,200,15545,121.0983746,দুশ্চেষ্টা,d̪uʃceʃta,8,10,3,10,10,চেষ্টা,,,2.133333333,537.213224,2.7301466946883,537.213,2.73014651360195,1231,NA,0.1,-1,0.000186145827266531,-3.7301466946883,0.0546218261387122,0.114048916771219,-0.078336295880802,-0.00346743589134946,0.00610386614908774,44.1277223649622
F08,Filler,F08,7,a,শিশুদের,437,200,16975,125.977275,শিশুদের,ʃiʃud̪er,7,8,4,7,7,শিশু,,,NA,532.1417385,2.72602732411797,457.642,2.66052587490038,2994,NA,0.1,-1,0.000187919858122537,-3.72602732411797,0.0477940978713732,-0.00451238709829112,0.0600319735860601,0.0430102142129318,-0.0132023625989006,47.8144895664985
G14,Gramm,G14,10,a,প্রতিগ্রহণ,491,158,18629,134.9237228,প্রতিগ্রহণ,prot̪igrohon,11,13,5,10,10,গ্রহণ,,,1.966666667,519.8857346,2.71590790077749,488.693,2.68903611827281,2528,NA,0.1,-1,0.000192349959509737,-3.71590790077749,0.0751050109407293,-0.0666938593105196,-0.0261739014012191,-0.0413356423200299,-0.0906749948847674,55.66920215438
G15,Gramm,G15,8,a,দুঃসংবাদ,507,200,16792,127.5157831,দুঃসংবাদ,d̪uʃoŋbad̪,8,12,4,8,8,সংবাদ,,,2.966666667,511.6405608,2.70896496628622,470.709,2.672752502137,2442,NA,0.1,-1,0.000195449711499886,-3.70896496628622,0.0546218261387122,-0.00515701382661901,0.0150956959532413,0.0257439429382517,0.0618959727324804,51.7434537344963
